mmdd,site,lead,Obs,GFSMean,GFSStd,EtaMean,EtaStd,date
1001,17,24,6.7,10.363091,1.512419,9.78012,1.384771,1001937600
1002,17,24,12.8,13.608828,1.451802,11.239397,1.343669,1002024000
1003,17,24,13.3,15.297152,1.496694,15.272048,1.325141,1002110400
1004,17,24,12.2,12.571747,1.493117,11.956657,1.329944,1002196800
1005,17,24,13.3,14.625481,1.453838,14.176743,1.315932,1002283200
1006,17,24,12.2,13.938034,1.450527,12.460981,1.322946,1002369600
1007,17,24,13.9,12.84996,1.455133,13.05662,1.317544,1002456000
1008,17,24,14.4,12.014275,1.54124,12.548771,1.360129,1002542400
1009,17,24,9.4,13.194019,1.544911,10.565516,1.388451,1002628800
1010,17,24,6.1,9.575691,1.62978,7.937398,1.467294,1002715200
1011,17,24,5.6,9.555073,1.621604,7.938555,1.46725,1002801600
1012,17,24,6.1,10.421391,1.592793,8.1525,1.45923,1002888000
1013,17,24,6.7,10.755536,1.583441,8.836366,1.435435,1002974400
1014,17,24,9.4,11.598612,1.564361,8.441267,1.448836,1003060800
1015,17,24,10,13.480011,1.768336,10.683331,1.400725,1003147200
1016,17,24,7.8,11.816236,1.770009,10.360668,1.403329,1003233600
1017,17,24,8.3,11.816364,1.742953,12.246643,1.393196,1003320000
1018,17,24,11.7,14.155113,1.752076,11.954844,1.393957,1003406400
1019,17,24,15,12.053249,1.745121,14.762518,1.398937,1003492800
1020,17,24,13.9,10.906425,1.746905,12.751288,1.392581,1003579200
1021,17,24,12.8,10.858456,1.750838,11.953863,1.39396,1003665600
1022,17,24,8.3,10.015452,1.91624,9.869891,1.468333,1003752000
1023,17,24,7.8,8.628969,1.946709,6.154993,1.524862,1003838400
1024,17,24,3.3,7.518728,1.982967,6.656308,1.514763,1003924800
1025,17,24,5,8.460638,1.962308,6.273145,1.522416,1004011200
1026,17,24,4.4,7.823344,1.9604,7.452908,1.50589,1004097600
1027,17,24,9.4,13.36235,1.913029,10.410904,1.463741,1004184000
1028,17,24,7.8,7.090697,1.979127,7.297962,1.50293,1004270400
1029,17,24,3.3,1.215945,2.143578,1.523548,1.621066,1004356800
1030,17,24,0.6,2.054849,2.116381,-0.300429,1.663391,1004443200
1031,17,24,2.2,4.419959,2.050064,0.792638,1.637346,1004529600
1101,17,24,-2.2,4.685443,2.04362,1.024287,1.632086,1004616000
1102,17,24,-2.2,5.479094,2.025614,2.888231,1.593212,1004702400
1103,17,24,1.1,7.276388,1.992013,5.447351,1.550433,1004788800
1104,17,24,7.8,9.699894,1.963166,8.334991,1.531415,1004875200
1105,17,24,7.8,11.355075,2.302933,8.734091,1.689037,1004961600
1106,17,24,8.3,11.845757,2.463779,12.723721,1.694139,1005048000
1107,17,24,10,14.21146,2.509571,12.50421,1.80948,1005134400
1108,17,24,10,11.845466,2.485852,10.940567,1.719995,1005220800
1109,17,24,8.9,13.114117,2.371934,10.708378,1.704869,1005307200
1110,17,24,9.4,14.256899,2.316334,9.359867,1.687834,1005393600
1111,17,24,11.7,12.249673,2.322022,11.046838,1.692533,1005480000
1112,17,24,10,11.983055,2.349745,10.672165,1.703333,1005566400
1113,17,24,10,12.836474,2.34279,10.651857,1.69889,1005652800
1114,17,24,6.1,7.358539,2.319251,7.623287,1.705681,1005739200
1115,17,24,7.2,9.876307,2.39084,8.797111,1.701749,1005825600
1116,17,24,8.9,12.620545,2.308164,9.826124,1.70347,1005912000
1117,17,24,6.1,6.443747,2.351389,8.967055,1.701317,1005998400
1118,17,24,11.7,10.641668,2.39663,10.543398,1.703591,1006084800
1119,17,24,8.3,12.085194,2.270633,11.205454,1.691327,1006171200
1120,17,24,8.3,11.470306,2.2778,10.232625,1.690932,1006257600
1121,17,24,10,13.054205,2.27408,10.765326,1.693683,1006344000
1122,17,24,10,15.595943,2.291705,9.311981,1.692586,1006430400
1123,17,24,7.8,11.15691,2.268828,9.64115,1.705475,1006516800
1124,17,24,0.6,4.625991,2.313815,3.488505,1.722279,1006603200
1125,17,24,0,5.674087,2.293614,3.249342,1.724055,1006689600
1126,17,24,0.6,7.28385,2.458756,5.457821,1.733162,1006776000
1127,17,24,2.8,8.008768,2.457273,7.011711,1.720248,1006862400
1128,17,24,1.1,9.111952,2.449671,8.804461,1.716914,1006948800
1129,17,24,2.2,8.634909,2.452162,6.09276,1.72588,1007035200
1130,17,24,2.8,6.736574,2.461253,5.158255,1.728252,1007121600
1201,17,24,5,10.783539,2.448277,7.31139,1.718932,1007208000
1202,17,24,0,5.08155,2.475077,4.239088,1.733702,1007294400
1203,17,24,4.4,4.161789,2.684314,5.479921,1.944436,1007380800
1204,17,24,6.1,5.790348,2.684108,7.945065,1.971074,1007467200
1205,17,24,3.9,4.685383,2.684941,4.162667,1.971832,1007553600
1206,17,24,0.6,4.676773,2.679876,4.49373,1.948062,1007640000
1207,17,24,2.8,3.737396,2.696102,2.383245,1.969948,1007726400
1208,17,24,3.3,5.256027,2.67871,3.451602,1.981749,1007812800
1209,17,24,7.2,13.611664,2.740132,9.868456,1.938045,1007899200
1210,17,24,7.2,8.168531,2.777682,7.661665,1.964208,1007985600
1211,17,24,8.3,12.117985,2.770348,9.778432,1.952982,1008072000
1212,17,24,7.8,9.125851,2.771575,9.396149,1.950565,1008158400
1213,17,24,9.4,9.647044,2.77627,9.37435,1.982322,1008244800
1214,17,24,8.9,9.584933,2.775864,11.064678,1.968349,1008331200
1215,17,24,8.3,10.818406,2.762927,11.261034,1.963127,1008417600
1216,17,24,5,7.920653,2.767339,3.405558,1.975598,1008504000
1217,17,24,3.9,7.126657,2.686212,5.22608,1.99025,1008590400
1218,17,24,6.1,4.698548,2.691666,3.544254,2.007621,1008676800
1219,17,24,4.4,6.79017,2.67309,3.748637,1.989423,1008763200
1220,17,24,4.4,6.856021,2.690108,6.455583,1.970815,1008849600
1221,17,24,5,9.295496,2.670391,5.448113,1.993857,1008936000
1222,17,24,2.8,4.48805,2.685567,2.481829,1.994938,1009022400
1223,17,24,5,1.576447,2.718866,2.934327,1.986155,1009108800
1224,17,24,3.9,7.250698,2.669326,7.138751,1.979551,1009195200
1225,17,24,4.4,9.087492,2.685439,7.176819,1.977617,1009281600
